dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust,blackbox,gower_dist,loss,sparsity
adult,1,42,2,1,0,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24, 2, 10, 2, 5, 0, 4, 1, 4787, 0, 40, 30]",1,False,2045.016,0.7904509283819628,False,0,rf,0.0039892065587322535,0.04366126994603279,0.9166666666666666
adult,1,42,2,1,1,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24, 2, 10, 2, 5, 0, 4, 1, 5178, 0, 40, 30]",1,False,1761.195,0.7904509283819628,False,0,rf,0.004315043150431504,0.04382418824188242,0.9166666666666666
adult,1,42,2,1,2,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[26, 2, 10, 2, 5, 0, 4, 1, 4386, 0, 40, 30]",1,False,2082.204,0.7904509283819628,False,0,rf,0.005938141573196554,0.0863024041199316,0.8333333333333334
adult,1,42,2,2,0,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50, 2, 10, 0, 6, 1, 4, 1, 3086, 0, 45, 30]",0,False,1342.508,0.7904509283819628,False,0,rf,0.0025716923835905027,1.042952512858462,0.9166666666666666
adult,1,42,2,2,1,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50, 2, -6, 0, 6, 1, 4, 1, 3142, 0, 45, 30]",0,False,2133.322,0.7904509283819628,False,0,rf,0.09785645475502372,1.1322615607108453,0.8333333333333334
adult,1,42,2,2,2,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50, 2, 10, 0, 6, 1, 4, 1, 3526, 0, 45, 30]",0,False,2115.48,0.7904509283819628,False,0,rf,0.002938362716960503,1.043135848025147,0.9166666666666666
adult,1,42,2,3,0,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27, 2, 13, 4, 11, 4, 2, 0, 809, 0, 25, 30]",0,False,2112.395,0.7904509283819628,False,0,rf,0.013429275449217078,1.0900479710579418,0.8333333333333334
adult,1,42,2,3,1,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27, 2, -3, 4, 11, 4, 2, 0, 2997, 0, 40, 30]",0,False,2125.952,0.7904509283819628,False,0,rf,0.09773562021334499,1.1322011434400059,0.8333333333333334
adult,1,42,2,3,2,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27, 2, 13, 4, 11, 4, 2, 0, 5161, 0, 40, 30]",0,False,2194.347,0.7904509283819628,False,0,rf,0.004300876342096754,1.043817104837715,0.9166666666666666
adult,1,42,2,4,0,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[24, 2, 9, 4, 1, 3, 4, 1, 3801, 0, 40, 30]",0,False,2224.845,0.7904509283819628,False,0,rf,0.0031675316753167534,1.043250432504325,0.9166666666666666
adult,1,42,2,4,1,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[33, 2, 9, 4, 1, 3, 4, 1, 3183, 0, 40, 30]",0,False,2142.609,0.7904509283819628,False,0,rf,0.012926499128004977,1.0897965828973357,0.8333333333333334
adult,1,42,2,4,2,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[24, 2, -4, 4, 1, 3, 4, 1, 3308, 0, 40, 30]",0,False,2143.087,0.7904509283819628,False,0,rf,0.08013764661456138,1.123402156640614,0.8333333333333334
adult,1,42,2,5,0,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36, 4, 13, 0, 8, 1, 2, 0, 611, 0, 25, 30]",0,False,2203.583,0.7904509283819628,False,0,rf,0.013264273799200577,1.0899654702329336,0.8333333333333334
adult,1,42,2,5,1,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36, 4, 13, 0, 8, 1, 2, 0, 3120, 0, 23, 30]",0,False,2134.06,0.7904509283819628,False,0,rf,0.01705580831318517,1.091861237489926,0.8333333333333334
adult,1,42,2,5,2,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36, 4, 13, 0, 8, 1, 2, 0, 3195, 0, 40, 30]",0,False,2151.005,0.7904509283819628,False,0,rf,0.0026625266252662525,1.0429979299792997,0.9166666666666666
