dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust
compas,0,42,1,0,0,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 3]",1,False,1455.459,0.8175,False,0
compas,0,42,1,0,1,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,False,1465.115,0.8175,False,0
compas,0,42,1,0,2,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24, 1, 0, 3, 1, 0, 1, 0, 1, 1]",0,False,1474.881,0.8175,False,0
compas,0,42,1,8,0,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[27, 1, 2, 4, 1, 1, 1, 1, 1, 6]",0,False,1928.654,0.8175,False,0
compas,0,42,1,8,1,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[9, 1, 2, 21, 1, 1, 1, 1, 1, 6]",1,False,1547.707,0.8175,False,0
compas,0,42,1,8,2,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[8, 1, 2, 23, 1, 1, 1, 1, 1, 6]",1,False,1426.057,0.8175,False,0
compas,0,42,1,15,0,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,False,1510.15,0.8175,False,0
compas,0,42,1,15,1,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[41, 1, 0, 7, 4, 0, 1, 0, 1, 10]",0,False,1527.684,0.8175,False,0
compas,0,42,1,15,2,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[46, 1, 0, 25, 0, 0, 1, 0, 1, 176]",1,False,1439.884,0.8175,False,0
compas,0,42,1,22,0,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,1,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,False,1462.074,0.8175,False,0
compas,0,42,1,22,1,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,1,"[48, 1, 0, 24, 1, 0, 1, 0, 1, 13]",1,False,2030.486,0.8175,False,0
compas,0,42,1,22,2,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,1,"[32, 1, 0, 7, 1, 0, 1, 0, 1, 13]",0,False,1648.519,0.8175,False,0
compas,0,42,1,23,0,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,1,"[33, 0, 0, 6, 1, 0, 1, 0, 1, 11]",0,False,1558.633,0.8175,False,0
compas,0,42,1,23,1,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,1,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,False,1869.918,0.8175,False,0
compas,0,42,1,23,2,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,1,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,False,1850.201,0.8175,False,0
