dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust
garments,2,42,4,0,0,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 17.053159, 11.41, 3660.0, 46.616, 0.0, 0.0, 0.0, 30.5]",1,False,2070.226,0.7782426778242678,False,0
garments,2,42,4,0,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 17.043452000000002, 11.41, 3660.0, 56.616, 0.0, 0.0, 0.0, 30.5]",1,False,1698.804,0.7782426778242678,False,0
garments,2,42,4,0,2,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 17.057149, 11.41, 3660.0, 46.384, 0.0, 0.0, 0.0, 30.5]",1,False,1717.17,0.7782426778242678,False,0
garments,2,42,4,1,0,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, -15.590599000000001, 19.31, 6480.0, 39.384, 0.0, 0.0, 0.0, 54.0]",0,False,2149.891,0.7782426778242678,False,0
garments,2,42,4,1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 17.059651, 19.31, 6480.0, 39.384, 0.0, 0.0, 0.0, 54.0]",1,False,2160.0,0.7782426778242678,False,0
garments,2,42,4,1,2,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 17.038520000000002, 19.31, 6480.0, 42.384, 0.0, 0.0, 0.0, 54.0]",1,False,2156.905,0.7782426778242678,False,0
garments,2,42,4,2,0,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 4.0, 17.05735, 19.501591, 3660.0, 48.616, 0.0, 0.0, 0.0, 30.5]",1,False,2150.03,0.7782426778242678,False,0
garments,2,42,4,2,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 66.616, 0.0, 0.0, 0.0, 30.5]",1,False,2154.404,0.7782426778242678,False,0
garments,2,42,4,2,2,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 4.0, 17.051297, 20.324, 3660.0, 50.616, 0.0, 0.0, 0.0, 30.5]",1,False,2161.873,0.7782426778242678,False,0
garments,2,42,4,3,0,"[0.0, 1.0, 3.0, 3.0, 0.65, 23.69, 7200.0, 0.0, 0.0, 0.0, 0.0, 60.0]",0,0,"[0.0, 1.0, 3.0, 3.0, -15.686058000000001, 23.69, 7200.0, 21.616, 0.0, 0.0, 0.0, 60.0]",0,False,2197.917,0.7782426778242678,False,0
garments,2,42,4,3,1,"[0.0, 1.0, 3.0, 3.0, 0.65, 23.69, 7200.0, 0.0, 0.0, 0.0, 0.0, 60.0]",0,0,"[0.0, 1.0, 3.0, 3.0, -15.711004, 23.69, 7200.0, 4.384, 0.0, 0.0, 0.0, 60.0]",0,False,2202.58,0.7782426778242678,False,0
garments,2,42,4,3,2,"[0.0, 1.0, 3.0, 3.0, 0.65, 23.69, 7200.0, 0.0, 0.0, 0.0, 0.0, 60.0]",0,0,"[0.0, 1.0, 3.0, 3.0, -15.702987, 23.69, 7200.0, 28.616, 0.0, 0.0, 0.0, 60.0]",0,False,2210.67,0.7782426778242678,False,0
garments,2,42,4,5,0,"[0.0, 1.0, 1.0, 11.0, 0.8, 26.16, 7080.0, 63.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 11.0, 0.8, 26.16, 7080.0, 46.616, 0.0, 0.0, 0.0, 59.0]",1,False,2238.805,0.7782426778242678,False,0
garments,2,42,4,5,1,"[0.0, 1.0, 1.0, 11.0, 0.8, 26.16, 7080.0, 63.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 11.0, 0.75, 26.16, 7080.0, 70.0, 0.0, 0.0, 0.0, 59.0]",2,False,2166.775,0.7782426778242678,False,0
garments,2,42,4,5,2,"[0.0, 1.0, 1.0, 11.0, 0.8, 26.16, 7080.0, 63.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 11.0, 0.8, 26.16, 7080.0, 52.616, 0.0, 0.0, 0.0, 59.0]",1,False,2192.652,0.7782426778242678,False,0
